name,total_shipped,genres,themes,game_engines,age_ratings
dishonored,1.72,"['puzzle', 'role-playing (rpg)', 'adventure']","['action', 'stealth']",unreal engine,m
titanfall 2,1.72,"['shooter', 'adventure']","['action', 'science fiction']",source,m
tekken 7,6.23,['fighting'],['action'],unreal engine 4,t
sid meier's civilization v,8.0,"['simulator', 'strategy', 'turn-based strategy (tbs)']","['fantasy', 'science fiction', 'historical', 'warfare', '4x (explore, expand, exploit, and exterminate)']",firaxis lore,e10
saints row iv,1.69,"['shooter', 'adventure']","['action', 'science fiction', 'comedy', 'sandbox', 'open world']",custom built engine,m
the sims: superstar,1.68,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
spongebob squarepants: battle for bikini bottom,1.67,"['platform', 'adventure']","['action', 'comedy']",renderware,e
prince of persia: warrior within,1.64,"['fighting', 'platform', 'adventure']",['action'],jade,m
the order: 1886,1.62,"['shooter', 'adventure']","['action', 'fantasy', 'horror', 'historical']",rad engine 4.0,m
wolfenstein: the new order,1.61,"['shooter', 'puzzle', 'adventure']","['action', 'fantasy', 'science fiction', 'historical', 'stealth', 'warfare']",id tech 5,m
rage,1.6,"['shooter', 'racing']","['action', 'science fiction']",id tech 5,m
gears of war: judgment,1.0,['shooter'],"['action', 'science fiction']",unreal engine,m
sonic generations,1.59,"['platform', 'adventure']","['action', 'kids']",hedgehog engine,e
far cry 2,1.59,"['shooter', 'adventure']","['action', 'sandbox', 'open world']",dunia engine,m
final fantasy xiv online,1.45,"['role-playing (rpg)', 'strategy', 'adventure']","['fantasy', 'open world']",crystal tools,t
soulcalibur iv,1.54,"['fighting', 'arcade']","['action', 'fantasy']",havok,t
devil may cry 4,1.58,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'horror']",mt framework,m
mafia ii,1.56,"['shooter', 'racing', 'adventure']","['action', 'fantasy', 'historical', 'sandbox']",the illusion engine,m
guitar hero 5,1.55,['music'],['party'],gh engine,t
ni no kuni: wrath of the white witch,1.33,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'kids', 'open world']",havok,e10
tom clancy's ghost recon advanced warfighter,0.8,"['shooter', 'simulator', 'strategy', 'tactical']","['action', 'warfare']",yeti,t
super monkey ball 2,1.52,"['platform', 'arcade']","['action', 'party']",super monkey ball engine,e
star wars: the force unleashed ii,1.51,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'science fiction']",ronin,t
dragon ball: xenoverse 2,4.47,"['fighting', 'role-playing (rpg)', 'simulator', 'adventure']","['action', 'fantasy', 'science fiction']",unreal engine,t
red faction ii,1.5,"['shooter', 'strategy', 'adventure']","['action', 'science fiction']",geo-mod,m
rayman legends,1.5,"['platform', 'adventure']","['action', 'comedy']",ubiart framework,e10
sonic cd,1.5,"['platform', 'adventure']","['action', 'fantasy', 'science fiction']",retro engine,e
mass effect: andromeda,1.49,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'science fiction']",frostbite 3,m
resistance 3,1.49,['shooter'],"['action', 'fantasy', 'science fiction', 'survival', 'historical']",insomniac engine,m
tom clancy's ghost recon: future soldier,1.48,"['shooter', 'adventure']","['action', 'science fiction']",yeti,m
assassin's creed iii: liberation,1.48,"['strategy', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'science fiction', 'historical', 'stealth', 'sandbox', 'open world']",anvilnext,m
tom clancy's splinter cell: pandora tomorrow,1.48,"['shooter', 'adventure']","['action', 'stealth']",java,t
super scribblenauts,1.47,"['platform', 'puzzle']","['sandbox', 'kids']",objectnaut,e10
ryse: son of rome,1.3,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'historical']",cryengine,m
super monkey ball,1.46,"['platform', 'arcade']",['party'],sega naomi,e
dragon ball fighterz,4.31,['fighting'],"['action', 'fantasy', 'science fiction']",unreal engine,t
red dead revolver,1.45,"['shooter', 'adventure']","['action', 'historical', 'sandbox']",rage,m
